record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
north-bay|33102|2026,north-bay,33102,"Nurse Aides, Orderlies and Patient Services Associates",Health,2026,FALSE,Designated employers in healthcare may submit up to 5 candidates per year (others up to 3). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|33103|2026,north-bay,33103,Pharmacy Technical Assistants and Pharmacy Assistants,Health,2026,FALSE,Designated employers in healthcare may submit up to 5 candidates per year (others up to 3). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|42201|2026,north-bay,42201,Social and Community Service Workers,"Education, law and social, community and government services",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|42202|2026,north-bay,42202,Early Childhood Educators and Assistants,"Education, law and social, community and government services",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|44101|2026,north-bay,44101,"Home Support Workers, Caregivers and Related Occupations","Education, law and social, community and government services",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72100|2026,north-bay,72100,Machinists and Machining and Tooling Inspectors,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72106|2026,north-bay,72106,Welders and Related Machine Operators,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72200|2026,north-bay,72200,Electricians,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72300|2026,north-bay,72300,Plumbers,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72400|2026,north-bay,72400,Construction Millwrights and Industrial Mechanics,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72404|2026,north-bay,72404,Aircraft Mechanics and Aircraft Inspections,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|72410|2026,north-bay,72410,"Automotive Service Technicians, Truck and Bus Mechanics and Mechanical Repairers","Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|75110|2026,north-bay,75110,Construction Trade Helpers and Labourers,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|94110|2026,north-bay,94110,Production Line Worker,"Trades, transport and equipment operators and related occupations",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
