record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
timmins|college-boreal,timmins,College Boreal,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|community-living-timmins,timmins,Community Living Timmins,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|conseil-scolaire-catholique-des-grandes-rivi-res,timmins,Conseil scolaire catholique des Grandes Rivières,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|corporation-of-the-city-of-timmins,timmins,Corporation of The City of Timmins,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|friends-forever-childcare-centre,timmins,Friends Forever Childcare Centre,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|int-gration-communautaire-de-hearst,timmins,Intégration Communautaire de Hearst,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|keepers-of-the-circle,timmins,Keepers of the circle,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|kiddies-korner-daycare,timmins,Kiddies Korner Daycare,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|kunuwanimano-child-and-family-services,timmins,Kunuwanimano Child and Family Services,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|la-garderie-francofleur-et-miel,timmins,La Garderie Francofleur et Miel,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|la-mosaic-montessori,timmins,La Mosaic Montessori,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|little-saplings-child-care-centreliving-space,timmins,Little Saplings Child Care CentreLiving Space,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|northeastern-catholic-district-school-board-northeastern-public-health,timmins,Northeastern Catholic District School Board Northeastern Public Health,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|precious-children-daycare-centrestork-s-child-care-centre,timmins,Precious Children Daycare CentreStork’s Child Care Centre,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|timmins-area-women-in-crisis,timmins,Timmins & Area Women in Crisis,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|wakenagun-youth-healing-lodge,timmins,Wakenagun Youth Healing Lodge,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|ymca-of-northeastern-ontario,timmins,YMCA of Northeastern Ontario,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|1887559-ontario-inc-o-a-dark-enterprise,timmins,1887559 Ontario Inc. o/a Dark Enterprise,"Timmins region, ON",Trades and Transport,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|360-services-inc,timmins,360 Services Inc.,"Timmins region, ON",Trades and Transport,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|90-degree-designs,timmins,90 Degree Designs,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|acces-industrial,timmins,Acces Industrial,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|accurate-electric-inc,timmins,Accurate Electric Inc,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|airmaxxplus,timmins,AirMaxxPlus,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|boudreau-automotive-mechanic,timmins,Boudreau Automotive Mechanic,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|caron-equipment,timmins,Caron Equipment,"Timmins region, ON",Trades and Transport,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|canada-glass,timmins,Canada Glass,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|canadian-tire-auto-service,timmins,Canadian Tire Auto Service,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|city-tow-and-go-rentals,timmins,City Tow and Go Rentals,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|cj-equipment-sales-and-services,timmins,CJ Equipment Sales and Services,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|chenier-motors-limited,timmins,Chenier Motors Limited,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|crawford-mechanical-ltd,timmins,Crawford Mechanical Ltd.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|custom-concrete-northern,timmins,Custom Concrete Northern,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|dumoulin-trucking,timmins,Dumoulin Trucking,"Timmins region, ON",Trades and Transport,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|djb-mining-product-services,timmins,DJB Mining Product & Services,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|e360-kapuskasing,timmins,E360 Kapuskasing,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|environmental-360-solutions-ltd,timmins,Environmental 360 Solutions Ltd.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|epitron-inc,timmins,Epitron Inc,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|expert-garage-limited,timmins,Expert Garage Limited,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|first-class-construction-inc,timmins,First Class Construction Inc.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|first-general-property-restoration-specialists-flsmidth-fountain-tire-gardewine-,timmins,First General Property Restoration Specialists FLSmidth Fountain Tire Gardewine GFL Environmental Inc.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|glf-environmental-services-inc,timmins,GLF Environmental Services Inc.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|g-s-enterprises-ltd,timmins,G&S Enterprises Ltd.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|joel-vachon-trucking,timmins,Joel Vachon Trucking,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|joelle-s-technical-resource-custom-works-inc-kaltire-kiani-construction-martin-r,timmins,Joelle’s Technical Resource & Custom Works Inc. KalTire Kiani Construction Martin Roy Transport (MRT),"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|matheson-chrysler,timmins,Matheson Chrysler,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|murray-ok-tire,timmins,Murray OK Tire,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|mwb-contracting,timmins,MWB Contracting,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|northern-allied-supply,timmins,Northern Allied Supply,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|northern-equipment-services-inc,timmins,Northern Equipment Services Inc.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|northwind-transport-ltd,timmins,Northwind Transport Ltd.,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|nor-arc-steel-fabricators,timmins,Nor-Arc Steel Fabricators,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|ok-tire-kapuskasing,timmins,OK Tire Kapuskasing,"Timmins region, ON",Trades and Transport,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
